area,0,1,2,3,4,5,6,7,8,9,10
0001,0.16070350672497954,0.16070350672497954,0.16070350672497954,0.16070350672497954,0.16070350672497954,0.16070350672497954,0.16070350672497954,0.16070350672497954,0.16070350672497954,0.16070350672497954,0.16070350672497954
0002,0.32883706894810444,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
0003,0.4168090494018002,0.4168090494018002,0.4168090494018002,0.4168090494018002,0.4168090494018002,0.4168090494018002,0.4168090494018002,0.4168090494018002,0.4168090494018002,0.4168090494018002,0.4168090494018002
0004,0.4158153530615343,0.4158153530615343,0.4158153530615343,0.4158153530615343,0.4158153530615343,0.4158153530615343,0.4158153530615343,0.4158153530615343,0.4158153530615343,0.4158153530615343,0.4158153530615343
0005,0.20646498842858763,0.20646498842858763,0.20646498842858763,0.20646498842858763,0.20646498842858763,0.20646498842858763,0.20646498842858763,0.20646498842858763,0.20646498842858763,0.20646498842858763,0.20646498842858763
0006,0.23101477516686048,0.23101477516686048,0.23101477516686048,0.23101477516686048,0.23101477516686048,0.23101477516686048,0.23101477516686048,0.23101477516686048,0.23101477516686048,0.23101477516686048,0.23101477516686048
0007,0.3094946796757911,0.3094946796757911,0.3094946796757911,0.3094946796757911,0.3094946796757911,0.3094946796757911,0.3094946796757911,0.3094946796757911,0.3094946796757911,0.3094946796757911,0.3094946796757911
0008,0.22830979439010057,0.22830979439010057,0.22830979439010057,0.22830979439010057,0.22830979439010057,0.22830979439010057,0.22830979439010057,0.22830979439010057,0.22830979439010057,0.22830979439010057,0.22830979439010057
0009,-0.00024088730470328557,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
0010,0.31129305405243735,0.31129305405243735,0.31129305405243735,0.31129305405243735,0.31129305405243735,0.31129305405243735,0.31129305405243735,0.31129305405243735,0.31129305405243735,0.31129305405243735,0.31129305405243735
