mean_travel_time
270.67
220.74
223.3
104.0
163.63
643.46
541.5
356.85
403.91
322.25
352.36
98.67
282.87
113.84
258.0
730.19
541.79
393.27
562.55
510.5
665.0
408.8
359.0
149.1
932.25
154.83
441.33
259.86
303.81
290.08
326.27
445.14
317.29
357.22
363.92
403.3
219.11
668.42
137.25
117.83
413.33
755.57
423.55
125.79
649.17
770.0
412.89
505.86
447.69
609.11
371.83
902.67
375.29
562.67
373.3
354.89
675.71
474.33
351.5
1000.57
80.75
593.25
747.29
493.36
115.36
365.36
210.32
140.88
120.5
126.33
193.85
203.33
265.52
332.25
511.67
391.77
339.68
351.0
257.37
251.67
1279.67
351.45
140.29
54.27
285.33
198.13
188.08
88.64
79.71
368.43
598.62
587.28
612.15
570.29
710.33
536.27
295.0
156.92
60.72
68.25
248.29
98.37
65.89
427.75
435.0
243.78
337.83
411.57
479.56
184.88
65.14
505.33
415.5
81.25
623.75
251.0
285.29
307.0
305.43
612.0
499.44
651.17
100.57
757.88
471.91
556.15
587.33
253.5
147.6
485.9
244.33
161.0
249.83
598.6
441.0
457.16
487.78
517.0
248.0
386.75
151.56
595.06
457.5
479.5
459.5
685.67
692.71
68.16
139.43
441.43
127.55
109.17
620.5
487.85
507.3
407.5
624.0
405.3
122.0
675.5
492.5
790.83
344.92
112.67
282.12
705.67
257.66
208.33
692.71
228.27
492.0
123.89
560.46
289.33
137.25
813.43
334.94
935.57
148.33
682.73
113.5
423.33
1284.78
692.0
120.13
618.5
444.94
309.83
302.78
142.38
1555.17
266.22
476.5
82.33
234.7
209.6
269.45
98.72
109.91
82.69
