id,STREET_NAME,LNG,LAT,POS,AREA
20048301,Kreuzung auf Adolf-Loos-Weg,16.452633779562802,48.2674986690233,"(16.452633779562802, 48.2674986690233)",0760
20048304,Kreuzung auf Meistergasse,16.453923326739268,48.26740953203255,"(16.453923326739268, 48.26740953203255)",0760
20048401,Kreuzung auf Nelson-Mandela-Platz,16.504386981529663,48.23337912023598,"(16.504386981529663, 48.23337912023598)",0761
20048421,Kreuzung zwischen Johann-Kutschera-Gasse und Gewidmete Verkehrsfläche und Unbenannte Verkehrsfläche und Gewidmete Verkehrsfläche,16.49965575911663,48.23269157357505,"(16.49965575911663, 48.23269157357505)",0041
20048943,Kreuzung auf Erdbrustgasse,16.30395988150427,48.214502905814534,"(16.30395988150427, 48.214502905814534)",0725
20048949,Kreuzung auf Heinrich-Collin-Straße,16.298206689666443,48.19838635022401,"(16.298206689666443, 48.19838635022401)",1303
20049001,Ende Rieglgasse,16.4519924318603,48.268268229431,"(16.4519924318603, 48.268268229431)",0760
20049081,Kreuzung auf Fischerstiege,16.3716891889381,48.21221088756008,"(16.3716891889381, 48.21221088756008)",0020
20049084,Kreuzung zwischen Hoher Markt und Judengasse,16.37313502066008,48.210893417267506,"(16.37313502066008, 48.210893417267506)",0292
20049181,Kreuzung auf Pölleritzergasse,16.286527847206866,48.15133619614737,"(16.286527847206866, 48.15133619614737)",0412
20049281,Kreuzung auf Unbenannte Verkehrsfläche,16.292465044257927,48.14878991499131,"(16.292465044257927, 48.14878991499131)",0414
20049321,Kreuzung auf Am Hasensprung,16.283764989793276,48.14955836979292,"(16.283764989793276, 48.14955836979292)",0766
20049325,Kreuzung zwischen Rudolf-Zeller-Gasse und Am Hasensprung,16.284367337460857,48.1496594666813,"(16.284367337460857, 48.1496594666813)",0766
20049467,Kreuzung auf Pantlitschkogasse,16.289851392111295,48.154741057268204,"(16.289851392111295, 48.154741057268204)",1009
20049550,Beginn Ludwig-Kirschner-Gasse,16.291965402853197,48.1526902209564,"(16.291965402853197, 48.1526902209564)",0541
20049552,Ende Gerbergasse,16.296330012260842,48.15120257999031,"(16.296330012260842, 48.15120257999031)",0414
20049561,Kreuzung zwischen Tiroler Weg und Unbenannte Verkehrsfläche,16.42916021567521,48.17210428185634,"(16.42916021567521, 48.17210428185634)",0806
20049630,Kreuzung auf Medwedweg,16.415420103026385,48.183098452174335,"(16.415420103026385, 48.183098452174335)",1342
20049661,Kreuzung auf Fuchsröhrenstraße,16.41383930637407,48.18181897576511,"(16.41383930637407, 48.18181897576511)",0388
20049662,Kreuzung auf Fuchsröhrenstraße,16.41350399136974,48.18184077137669,"(16.41350399136974, 48.18184077137669)",0388
20049664,Kreuzung zwischen Fuchsröhrenstraße und Medwedweg,16.413658207320033,48.18197338823915,"(16.413658207320033, 48.18197338823915)",0388
20049679,Kreuzung auf Oberleitengasse,16.417264147998136,48.17917385445681,"(16.417264147998136, 48.17917385445681)",0388
20050654,Kreuzung zwischen Lotte-Lenya-Platz und Hütteldorfer Straße und Heinrich-Collin-Straße,16.30207314509942,48.19808326557102,"(16.30207314509942, 48.19808326557102)",1303
20050728,Kreuzung zwischen Felix-Dahn-Straße und Sonnleitensteig,16.3214156730774,48.24315110248434,"(16.3214156730774, 48.24315110248434)",0834
20050731,Kreuzung auf Sonnleitensteig,16.32091904960591,48.242959652510685,"(16.32091904960591, 48.242959652510685)",0834
20051010,Kreuzung zwischen Friedrich-Schmidt-Platz und Schmidgasse,16.355189462660917,48.2106804094542,"(16.355189462660917, 48.2106804094542)",0514
20051026,Kreuzung zwischen Wagramer Straße und Lenkgasse,16.438218399306777,48.24490001852602,"(16.438218399306777, 48.24490001852602)",0273
20051061,Kreuzung zwischen Fenzlgasse und Eduard-Sueß-Gasse,16.318835688791655,48.19296430534693,"(16.318835688791655, 48.19296430534693)",1070
20051288,Kreuzung auf Edisonstraße,16.38901270778035,48.262931065797815,"(16.38901270778035, 48.262931065797815)",0403
20051322,Kreuzung zwischen Edisonstraße und Bunsengasse,16.390968829320602,48.263315379465745,"(16.390968829320602, 48.263315379465745)",0403
20051461,Kreuzung zwischen Maria-Tusch-Straße und Gertrud-Bodenwieser-Gasse,16.50281217178424,48.22542180830954,"(16.50281217178424, 48.22542180830954)",0761
20051478,Kreuzung zwischen Rotundenplatz und Pauline-Metternich-Promenade,16.409262792135173,48.21125017418844,"(16.409262792135173, 48.21125017418844)",1013
20051506,Kreuzung auf Schaukalgasse,16.296609836509905,48.23591108983836,"(16.296609836509905, 48.23591108983836)",0275
20051509,Ende Schaukalgasse,16.296092116454663,48.2360067438175,"(16.296092116454663, 48.2360067438175)",0275
20051752,Kreuzung auf Marinonigasse,16.423334742007725,48.299710581840884,"(16.423334742007725, 48.299710581840884)",0621
20051925,Kreuzung zwischen Arthur-Schnitzler-Platz und Burggasse,16.357458869558073,48.204898494159835,"(16.357458869558073, 48.204898494159835)",0117
20051935,Beginn Trambauerstraße,16.37069055576284,48.16878736501361,"(16.37069055576284, 48.16878736501361)",1116
20052288,Kreuzung zwischen Klausenburger Straße und Rissaweggasse,16.37904732180722,48.16750953977667,"(16.37904732180722, 48.16750953977667)",0980
20052295,Kreuzung zwischen Favoritenstraße und Klausenburger Straße,16.380647231876967,48.16835120899988,"(16.380647231876967, 48.16835120899988)",0980
20052302,Kreuzung auf Klausenburger Straße,16.380008504756816,48.16794507059159,"(16.380008504756816, 48.16794507059159)",0980
20052786,Kreuzung auf Spange Leopoldsdorf,16.39502474152109,48.12658062683236,"(16.39502474152109, 48.12658062683236)",1190
