id,STREET_NAME,NODE_FROM,NODE_TO,DISTRICT,DISTANCE,SPEED,TRAVEL_TIME,STREET_TYPE,AREA_FROM,AREA_TO
"(10346090, 10344819)",Kreuzgasse,10346090,10344819,18,84.001898244572,50,6.048136673609184,main-street,0958,0958
"(10343278, 10343279)",Breitenleer Straße,10343278,10343279,22,13.133593262038,50,0.9456187148667359,main-street,0003,0003
"(10344530, 10344597)",Alszeile,10344530,10344597,17,254.82252619513,30,30.578703143415602,local-street,1132,1132
"(10353623, 10353624)",Enkplatz,10353623,10353624,11,88.815144445148,30,10.657817333417759,local-street,0072,0072
"(10354123, 18000720)",Atzgersdorfer Straße,10354123,18000720,12,125.478121244832,50,9.034424729627904,main-street,0938,0938
"(10340073, 10340066)",Höhenstraße,10340073,10340066,19,627.329956860735,30,75.2795948232882,local-street,0163,0163
"(10354104, 10354082)",Riedelgasse,10354104,10354082,13,248.47523585067,30,29.8170283020804,local-street,0001,0001
"(10348640, 10348641)",Augentrostgasse,10348640,10348641,22,154.517999952975,30,18.542159994357004,local-street,1310,0023
"(10354945, 10354938)",Rielgasse,10354945,10354938,23,207.946653274127,30,24.953598392895238,local-street,1302,1302
"(10345804, 10345805)",Güpferlingstraße,10345804,10345805,17,45.640427094239,50,3.286110750785208,main-street,0180,0180
"(20034801, 10348370)",Untere Viaduktgasse,20034801,10348370,03,35.753422073158,30,4.29041064877896,local-street,0291,0291
"(10351396, 10351397)",Wiedner Hauptstraße,10351396,10351397,04,87.646721276128,50,6.310563931881217,main-street,0183,0183
"(10354418, 10354390)",Troststraße,10354418,10354390,10,69.157009446378,50,4.979304680139216,main-street,0320,0320
"(10354553, 10354552)",Migerkastraße,10354553,10354552,10,41.594930515976,30,4.99139166191712,local-street,1030,1030
"(10348039, 10347758)",Mariannengasse,10348039,10347758,09,123.112424504527,30,14.77349094054324,local-street,1213,1213
"(10346093, 10346094)",Teschnergasse,10346093,10346094,18,66.698373095847,30,8.00380477150164,local-street,0671,0671
"(10353045, 10353031)",Unbenannte Verkehrsfläche,10353045,10353031,12,114.300888511626,30,13.71610662139512,local-street,1272,1272
"(10346958, 10346959)",Hortengasse,10346958,10346959,22,52.476934199083,30,6.29723210388996,local-street,0712,1127
"(10345819, 10345816)",Balderichgasse,10345819,10345816,17,88.871094007544,30,10.66453128090528,local-street,1252,1252
"(10342958, 10342957)",Mühlschüttelgasse,10342958,10342957,21,53.977623333927,30,6.47731480007124,local-street,0038,0038
"(10346659, 10346660)",Teuffenbachstraße,10346659,10346660,02,35.706927621622,30,4.284831314594641,local-street,0650,0650
"(10357235, 10357239)",Josef-Meder-Gasse,10357235,10357239,23,100.235655255366,30,12.02827863064392,local-street,0832,1162
"(10354017, 10354079)",Linienamtsgasse,10354017,10354079,13,83.519694489837,30,10.022363338780439,local-street,0303,0303
