FID,OBJECTID,SE_ANNO_CAD_DATA,SHAPE,FEATURENAME,NEIGHBORNODE_OBJECTID,GIP_OBJECTID
STRASSENKNOTENOGD.3427128,3427128,,MULTIPOINT ((16.452633779562802 48.2674986690233)),Kreuzung auf Adolf-Loos-Weg,,20048301
STRASSENKNOTENOGD.3427129,3427129,,MULTIPOINT ((16.453923326739268 48.26740953203255)),Kreuzung auf Meistergasse,,20048304
STRASSENKNOTENOGD.3427130,3427130,,MULTIPOINT ((16.504386981529663 48.23337912023598)),Kreuzung auf Nelson-Mandela-Platz,,20048401
STRASSENKNOTENOGD.3427131,3427131,,MULTIPOINT ((16.49965575911663 48.23269157357505)),Kreuzung zwischen Johann-Kutschera-Gasse und Gewidmete Verkehrsfläche und Unbenannte Verkehrsfläche und Gewidmete Verkehrsfläche,,20048421
STRASSENKNOTENOGD.3427132,3427132,,MULTIPOINT ((16.508053144418692 48.226323878714126)),Kreuzung zwischen Unbenannte Verkehrsfläche und Gewidmete Verkehrsfläche,,20048724
STRASSENKNOTENOGD.3427133,3427133,,MULTIPOINT ((16.392769517769622 48.14429982453852)),Kreuzung auf Unterführung Alma-Rose-Gasse,,20048867
STRASSENKNOTENOGD.3427134,3427134,,MULTIPOINT ((16.404408101274647 48.1417188102134)),Kreuzung auf Kästenbaumtunnel,,20048901
STRASSENKNOTENOGD.3427135,3427135,,MULTIPOINT ((16.404315786211722 48.141530215630176)),Kreuzung auf Kästenbaumtunnel,,20048902
STRASSENKNOTENOGD.3427136,3427136,,MULTIPOINT ((16.30395988150427 48.214502905814534)),Kreuzung auf Erdbrustgasse,,20048943
STRASSENKNOTENOGD.3427137,3427137,,MULTIPOINT ((16.298206689666443 48.19838635022401)),Kreuzung auf Heinrich-Collin-Straße,,20048949
STRASSENKNOTENOGD.3427138,3427138,,MULTIPOINT ((16.4519924318603 48.268268229431)),Ende Rieglgasse,,20049001
STRASSENKNOTENOGD.3427139,3427139,,MULTIPOINT ((16.3716891889381 48.21221088756008)),Kreuzung auf Fischerstiege,,20049081
STRASSENKNOTENOGD.3427140,3427140,,MULTIPOINT ((16.37313502066008 48.210893417267506)),Kreuzung zwischen Hoher Markt und Judengasse,,20049084
STRASSENKNOTENOGD.3427141,3427141,,MULTIPOINT ((16.286527847206866 48.15133619614737)),Kreuzung auf Pölleritzergasse,,20049181
STRASSENKNOTENOGD.3427142,3427142,,MULTIPOINT ((16.292465044257927 48.14878991499131)),Kreuzung auf Unbenannte Verkehrsfläche,,20049281
STRASSENKNOTENOGD.3427143,3427143,,MULTIPOINT ((16.283764989793276 48.14955836979292)),Kreuzung auf Am Hasensprung,,20049321
STRASSENKNOTENOGD.3427144,3427144,,MULTIPOINT ((16.284367337460857 48.1496594666813)),Kreuzung zwischen Rudolf-Zeller-Gasse und Am Hasensprung,,20049325
STRASSENKNOTENOGD.3427145,3427145,,MULTIPOINT ((16.289851392111295 48.154741057268204)),Kreuzung auf Pantlitschkogasse,,20049467
STRASSENKNOTENOGD.3427146,3427146,,MULTIPOINT ((16.291965402853197 48.1526902209564)),Beginn Ludwig-Kirschner-Gasse,,20049550
STRASSENKNOTENOGD.3427147,3427147,,MULTIPOINT ((16.296330012260842 48.15120257999031)),Ende Gerbergasse,,20049552
STRASSENKNOTENOGD.3427148,3427148,,MULTIPOINT ((16.42916021567521 48.17210428185634)),Kreuzung zwischen Tiroler Weg und Unbenannte Verkehrsfläche,,20049561
STRASSENKNOTENOGD.3427149,3427149,,MULTIPOINT ((16.414842422133535 48.18278865182371)),Kreuzung auf Medwedweg,,20049625
STRASSENKNOTENOGD.3427150,3427150,,MULTIPOINT ((16.415420103026385 48.183098452174335)),Kreuzung auf Medwedweg,,20049630
STRASSENKNOTENOGD.3427151,3427151,,MULTIPOINT ((16.414592508713515 48.18259933196413)),Kreuzung zwischen Medwedweg und Schütte-Lihotzky-Weg,,20049633
STRASSENKNOTENOGD.3427152,3427152,,MULTIPOINT ((16.41383930637407 48.18181897576511)),Kreuzung auf Fuchsröhrenstraße,,20049661
STRASSENKNOTENOGD.3427153,3427153,,MULTIPOINT ((16.41350399136974 48.18184077137669)),Kreuzung auf Fuchsröhrenstraße,,20049662
STRASSENKNOTENOGD.3427154,3427154,,MULTIPOINT ((16.413658207320033 48.18197338823915)),Kreuzung zwischen Fuchsröhrenstraße und Medwedweg,,20049664
STRASSENKNOTENOGD.3427155,3427155,,MULTIPOINT ((16.417264147998136 48.17917385445681)),Kreuzung auf Oberleitengasse,,20049679
STRASSENKNOTENOGD.3427156,3427156,,MULTIPOINT ((16.419946462378523 48.205261195979936)),Kreuzung auf Pierre-de-Coubertin-Platz,,20050294
STRASSENKNOTENOGD.3427157,3427157,,MULTIPOINT ((16.30207314509942 48.19808326557102)),Kreuzung zwischen Lotte-Lenya-Platz und Hütteldorfer Straße und Heinrich-Collin-Straße,,20050654
STRASSENKNOTENOGD.3427158,3427158,,MULTIPOINT ((16.3214156730774 48.24315110248434)),Kreuzung zwischen Felix-Dahn-Straße und Sonnleitensteig,,20050728
STRASSENKNOTENOGD.3427159,3427159,,MULTIPOINT ((16.32091904960591 48.242959652510685)),Kreuzung auf Sonnleitensteig,,20050731
STRASSENKNOTENOGD.3427160,3427160,,MULTIPOINT ((16.355189462660917 48.2106804094542)),Kreuzung zwischen Friedrich-Schmidt-Platz und Schmidgasse,,20051010
STRASSENKNOTENOGD.3427161,3427161,,MULTIPOINT ((16.438218399306777 48.24490001852602)),Kreuzung zwischen Wagramer Straße und Lenkgasse,,20051026
STRASSENKNOTENOGD.3427162,3427162,,MULTIPOINT ((16.318835688791655 48.19296430534693)),Kreuzung zwischen Fenzlgasse und Eduard-Sueß-Gasse,,20051061
STRASSENKNOTENOGD.3427163,3427163,,MULTIPOINT ((16.38901270778035 48.262931065797815)),Kreuzung auf Edisonstraße,,20051288
STRASSENKNOTENOGD.3427164,3427164,,MULTIPOINT ((16.390968829320602 48.263315379465745)),Kreuzung zwischen Edisonstraße und Bunsengasse,,20051322
STRASSENKNOTENOGD.3427165,3427165,,MULTIPOINT ((16.50281217178424 48.22542180830954)),Kreuzung zwischen Maria-Tusch-Straße und Gertrud-Bodenwieser-Gasse,,20051461
STRASSENKNOTENOGD.3427166,3427166,,MULTIPOINT ((16.409262792135173 48.21125017418844)),Kreuzung zwischen Rotundenplatz und Pauline-Metternich-Promenade,,20051478
STRASSENKNOTENOGD.3427167,3427167,,MULTIPOINT ((16.40900563665156 48.211374134484025)),Kreuzung auf Rotundenplatz,,20051484
STRASSENKNOTENOGD.3427168,3427168,,MULTIPOINT ((16.40874396993142 48.21150491300884)),Kreuzung zwischen Rotundenplatz und Stadtwanderweg 9,,20051487
STRASSENKNOTENOGD.3427169,3427169,,MULTIPOINT ((16.452889872822436 48.21867296051053)),Kreuzung auf Kastelicweg,,20051504
STRASSENKNOTENOGD.3427170,3427170,,MULTIPOINT ((16.296609836509905 48.23591108983836)),Kreuzung auf Schaukalgasse,,20051506
STRASSENKNOTENOGD.3427171,3427171,,MULTIPOINT ((16.296092116454663 48.2360067438175)),Ende Schaukalgasse,,20051509
STRASSENKNOTENOGD.3427172,3427172,,MULTIPOINT ((16.423334742007725 48.299710581840884)),Kreuzung auf Marinonigasse,,20051752
STRASSENKNOTENOGD.3427173,3427173,,MULTIPOINT ((16.357458869558073 48.204898494159835)),Kreuzung zwischen Arthur-Schnitzler-Platz und Burggasse,,20051925
STRASSENKNOTENOGD.3427174,3427174,,MULTIPOINT ((16.37069055576284 48.16878736501361)),Beginn Trambauerstraße,,20051935
STRASSENKNOTENOGD.3427175,3427175,,MULTIPOINT ((16.382288377231355 48.21004362033745)),Kreuzung zwischen Georg-Coch-Platz und Stubenring,,20052067
STRASSENKNOTENOGD.3427176,3427176,,MULTIPOINT ((16.381835381991717 48.20987075202182)),Kreuzung auf Georg-Coch-Platz,,20052070
STRASSENKNOTENOGD.3427127,3427127,,MULTIPOINT ((16.500075237471854 48.239797063764556)),Ende Unbenannte Verkehrsfläche,,20048023
STRASSENKNOTENOGD.3427177,3427177,,MULTIPOINT ((16.38184417107383 48.21006164305585)),Kreuzung auf Georg-Coch-Platz,,20052076
STRASSENKNOTENOGD.3427178,3427178,,MULTIPOINT ((16.37904732180722 48.16750953977667)),Kreuzung zwischen Klausenburger Straße und Rissaweggasse,,20052288
STRASSENKNOTENOGD.3427179,3427179,,MULTIPOINT ((16.380647231876967 48.16835120899988)),Kreuzung zwischen Favoritenstraße und Klausenburger Straße,,20052295
STRASSENKNOTENOGD.3427180,3427180,,MULTIPOINT ((16.380008504756816 48.16794507059159)),Kreuzung auf Klausenburger Straße,,20052302
STRASSENKNOTENOGD.3427181,3427181,,MULTIPOINT ((16.39502474152109 48.12658062683236)),Kreuzung auf Spange Leopoldsdorf,,20052786
STRASSENKNOTENOGD.3427183,3427183,,MULTIPOINT ((16.381042833330188 48.21711474483391)),Kreuzung zwischen Lancplatz und Taborstraße,,20052844
STRASSENKNOTENOGD.3427184,3427184,,MULTIPOINT ((16.380798698579845 48.21697010597746)),Kreuzung zwischen Lancplatz und Taborstraße,,20052845
STRASSENKNOTENOGD.3427185,3427185,,MULTIPOINT ((16.493097351330633 48.16102043868811)),Kreuzung auf 2.Molostraße,,20053327
STRASSENKNOTENOGD.3427186,3427186,,MULTIPOINT ((16.479281263867417 48.16976730595704)),Kreuzung zwischen Unbenannte Verkehrsfläche und Unbenannte Verkehrsfläche,,20055144
STRASSENKNOTENOGD.3427187,3427187,,MULTIPOINT ((16.48795489205548 48.166993552611004)),Kreuzung zwischen Unbenannte Verkehrsfläche und Unbenannte Verkehrsfläche,,20055147
STRASSENKNOTENOGD.3427188,3427188,,MULTIPOINT ((16.383528599326404 48.281599800816316)),Kreuzung auf Spundagasse,,20055781
STRASSENKNOTENOGD.3427189,3427189,,MULTIPOINT ((16.383758454264655 48.28166975404109)),Kreuzung auf Spundagasse,,20055784
STRASSENKNOTENOGD.3427190,3427190,,MULTIPOINT ((16.38602281604729 48.27382019662269)),Kreuzung zwischen Johann-Knoll-Gasse und Johann-Treixler-Gasse,,20055849
STRASSENKNOTENOGD.3427191,3427191,,MULTIPOINT ((16.38025130874395 48.274237855284305)),Kreuzung zwischen Josef-Türk-Gasse und Wettsteingasse,,20055852
STRASSENKNOTENOGD.3427192,3427192,,MULTIPOINT ((16.42870475211563 48.15913906877912)),Kreuzung auf Artmanngasse,,20056375
STRASSENKNOTENOGD.3427193,3427193,,MULTIPOINT ((16.39539452295906 48.27405877329837)),Beginn Kreuzfeldgasse,,20056497
STRASSENKNOTENOGD.3427194,3427194,,MULTIPOINT ((16.415224767215776 48.20486244607269)),Kreuzung auf Rustenschacherallee,,20056749
STRASSENKNOTENOGD.3427195,3427195,,MULTIPOINT ((16.343763043086625 48.19083788861386)),Kreuzung zwischen Lutherplatz und Sonnenuhrgasse,,20057924
STRASSENKNOTENOGD.3427196,3427196,,MULTIPOINT ((16.379948084936018 48.17851718038203)),Kreuzung auf Sonnwendgasse,,20058026
STRASSENKNOTENOGD.3427197,3427197,,MULTIPOINT ((16.354697150577703 48.130815185675274)),Kreuzung auf Obere Grenzgasse,,20058152
STRASSENKNOTENOGD.3427198,3427198,,MULTIPOINT ((16.35539018619004 48.13058805992863)),Beginn Obere Grenzgasse,,20058153
STRASSENKNOTENOGD.3427199,3427199,,MULTIPOINT ((16.31988956444771 48.166323387485384)),Kreuzung auf Elsniggasse,,20058781
STRASSENKNOTENOGD.3427200,3427200,,MULTIPOINT ((16.49279847949692 48.16078020556645)),Kreuzung auf 2.Molostraße,,20058814
STRASSENKNOTENOGD.3427201,3427201,,MULTIPOINT ((16.294160563269813 48.15984725312508)),Kreuzung auf Emil-Behring-Weg,,20058868
STRASSENKNOTENOGD.3427202,3427202,,MULTIPOINT ((16.293704345254287 48.15912804366101)),Kreuzung auf Emil-Behring-Weg,,20058876
STRASSENKNOTENOGD.3427203,3427203,,MULTIPOINT ((16.2929661282736 48.157851422784674)),Kreuzung auf Emil-Behring-Weg,,20058879
STRASSENKNOTENOGD.3427204,3427204,,MULTIPOINT ((16.297667960691186 48.1568485830245)),Kreuzung zwischen Franz-Egermaier-Weg und Gewidmete Verkehrsfläche,,20058913
STRASSENKNOTENOGD.3427205,3427205,,MULTIPOINT ((16.298718265436786 48.157548509554985)),Kreuzung zwischen Franz-Egermaier-Weg und Gewidmete Verkehrsfläche,,20058915
STRASSENKNOTENOGD.3427206,3427206,,MULTIPOINT ((16.423292806425472 48.169232013861645)),Kreuzung auf Kaiser-Ebersdorfer Straße,,20058991
STRASSENKNOTENOGD.3427207,3427207,,MULTIPOINT ((16.42346630012076 48.16928099449501)),Kreuzung zwischen Kaiser-Ebersdorfer Straße und Unter der Kirche,,20058993
STRASSENKNOTENOGD.3427208,3427208,,MULTIPOINT ((16.423530566907164 48.16914998098106)),Kreuzung auf Kaiser-Ebersdorfer Straße,,20058996
STRASSENKNOTENOGD.3427209,3427209,,MULTIPOINT ((16.411689798606535 48.191109386763614)),Kreuzung zwischen Herma-Bauma-Gasse und Nottendorfer Gasse,,20059000
STRASSENKNOTENOGD.3427210,3427210,,MULTIPOINT ((16.431123364145954 48.27176172882449)),Kreuzung auf Unbenannte Verkehrsfläche,,20059010
STRASSENKNOTENOGD.3427211,3427211,,MULTIPOINT ((16.292440806769854 48.15124592258231)),Kreuzung zwischen Scherbangasse und Gewidmete Verkehrsfläche,,20059023
STRASSENKNOTENOGD.3427212,3427212,,MULTIPOINT ((16.292885729741986 48.14980772316954)),Kreuzung zwischen Scherbangasse und Gewidmete Verkehrsfläche,,20059025
STRASSENKNOTENOGD.3427213,3427213,,MULTIPOINT ((16.29345141746141 48.14932194501013)),Kreuzung zwischen Hödlgasse und Gewidmete Verkehrsfläche,,20059026
STRASSENKNOTENOGD.3427214,3427214,,MULTIPOINT ((16.292805522088457 48.15004882613927)),Kreuzung zwischen Scherbangasse und Gewidmete Verkehrsfläche,,20059031
STRASSENKNOTENOGD.3427215,3427215,,MULTIPOINT ((16.29571595485597 48.14991547866961)),Kreuzung zwischen Ziedlergasse und Gewidmete Verkehrsfläche,,20059033
STRASSENKNOTENOGD.3427216,3427216,,MULTIPOINT ((16.292745839153003 48.150228177924085)),Kreuzung zwischen Scherbangasse und Gewidmete Verkehrsfläche,,20059034
STRASSENKNOTENOGD.3427217,3427217,,MULTIPOINT ((16.29600988230256 48.15079446738089)),Kreuzung zwischen Ziedlergasse und Gewidmete Verkehrsfläche,,20059036
STRASSENKNOTENOGD.3427218,3427218,,MULTIPOINT ((16.359790282134487 48.139482068567936)),Kreuzung zwischen Heizwerkstraße und Kronfußgasse,,20059524
STRASSENKNOTENOGD.3427219,3427219,,MULTIPOINT ((16.30610182970884 48.149548601143586)),Kreuzung auf Unbenannte Verkehrsfläche,,20059563
STRASSENKNOTENOGD.3427220,3427220,,MULTIPOINT ((16.357573159159266 48.22211562495462)),Kreuzung zwischen Strudlhofgasse und Strudlhofstiege,,20060182
STRASSENKNOTENOGD.3427221,3427221,,MULTIPOINT ((16.43244611092557 48.24333463725727)),Kreuzung zwischen Dr.-Adolf-Schärf-Platz und Siebeckstraße,,20060201
STRASSENKNOTENOGD.3427222,3427222,,MULTIPOINT ((16.254856482016613 48.19366336231021)),Kreuzung auf Markwardstiege,,20060245
STRASSENKNOTENOGD.3427223,3427223,,MULTIPOINT ((16.493464789280086 48.21916608590423)),Kreuzung zwischen Pilotengasse und Strunzgasse,,20060264
STRASSENKNOTENOGD.3427224,3427224,,MULTIPOINT ((16.493061132020458 48.21832647512737)),Kreuzung auf Strunzgasse,,20060270
STRASSENKNOTENOGD.3427225,3427225,,MULTIPOINT ((16.47762414442584 48.17255657134176)),Kreuzung auf Unbenannte Verkehrsfläche,,20060720
STRASSENKNOTENOGD.3427226,3427226,,MULTIPOINT ((16.479202458100485 48.171833048358394)),Kreuzung auf Unbenannte Verkehrsfläche,,20060723
STRASSENKNOTENOGD.3427227,3427227,,MULTIPOINT ((16.318571920198103 48.23727696923186)),Beginn Hockegasse,,20060788
STRASSENKNOTENOGD.3427228,3427228,,MULTIPOINT ((16.461190819358293 48.28195265210101)),Beginn Unbenannte Verkehrsfläche,6001613472,20060886
STRASSENKNOTENOGD.3427229,3427229,,MULTIPOINT ((16.49459893475044 48.161175901414396)),Ende 2.Molostraße,,20061392
STRASSENKNOTENOGD.3427182,3427182,,MULTIPOINT ((16.395288714662463 48.12670042656714)),Kreuzung auf Spange Leopoldsdorf,,20052800
STRASSENKNOTENOGD.3427230,3427230,,MULTIPOINT ((16.387067664403116 48.24814243489464)),Kreuzung auf Unbenannte Verkehrsfläche,,20061746
STRASSENKNOTENOGD.3427231,3427231,,MULTIPOINT ((16.302585513204686 48.16098226227456)),Kreuzung zwischen Wundtgasse und Franz-Egermaier-Weg,,20062043
STRASSENKNOTENOGD.3427232,3427232,,MULTIPOINT ((16.37910389156839 48.20805763395149)),Kreuzung auf Bäckerstraße,,20062243
STRASSENKNOTENOGD.3427233,3427233,,MULTIPOINT ((16.378953400920167 48.209228705295864)),Kreuzung zwischen Postgasse und Barbaragasse,,20062246
STRASSENKNOTENOGD.3427234,3427234,,MULTIPOINT ((16.378917288657203 48.20978939012822)),Kreuzung auf Postgasse,,20062250
STRASSENKNOTENOGD.3427237,3427237,,MULTIPOINT ((16.417273337967423 48.2321749956758)),Kreuzung zwischen Wagramer Straße und Am Kaiserwasser,,20062480
STRASSENKNOTENOGD.3427238,3427238,,MULTIPOINT ((16.47471567734901 48.208637942567684)),Kreuzung auf Mühlwasserpromenade,,20062740
STRASSENKNOTENOGD.3427239,3427239,,MULTIPOINT ((16.488223544342716 48.201012103543746)),Kreuzung auf Schilfweg,,20062820
STRASSENKNOTENOGD.3427240,3427240,,MULTIPOINT ((16.488558481375048 48.20037068153943)),Kreuzung auf Schilfweg,,20062823
STRASSENKNOTENOGD.3427241,3427241,,MULTIPOINT ((16.357506163162363 48.25109958761575)),Kreuzung auf Stürzergasse,,20062894
STRASSENKNOTENOGD.3427242,3427242,,MULTIPOINT ((16.238463981013485 48.2490815340881)),Beginn Scheiterplatzl,,20063654
STRASSENKNOTENOGD.3427243,3427243,,MULTIPOINT ((16.504083690428327 48.23607927462825)),Kreuzung zwischen Mayredergasse und Mayrederbrücke,,20063963
STRASSENKNOTENOGD.3427244,3427244,,MULTIPOINT ((16.50343469151346 48.235371164271164)),Kreuzung auf Mayrederbrücke,,20063964
STRASSENKNOTENOGD.3427245,3427245,,MULTIPOINT ((16.50353788345885 48.234571745059675)),Kreuzung auf Mayrederbrücke,,20063970
STRASSENKNOTENOGD.3427246,3427246,,MULTIPOINT ((16.205414083060525 48.22698599327534)),Ende Greutberggasse,,20064065
STRASSENKNOTENOGD.3427247,3427247,,MULTIPOINT ((16.422237056137163 48.17866837064378)),Ende Ignaz-Weigl-Gasse,,20064300
STRASSENKNOTENOGD.3427248,3427248,,MULTIPOINT ((16.384146423071062 48.20982449236234)),Kreuzung zwischen Gottfried-von-Einem-Platz und Zollamtssteg,,20065424
STRASSENKNOTENOGD.3427249,3427249,,MULTIPOINT ((16.383886387937363 48.20917062553686)),Kreuzung zwischen Gottfried-von-Einem-Platz und Schallautzerstraße,,20065426
STRASSENKNOTENOGD.3427250,3427250,,MULTIPOINT ((16.435814083236185 48.1694836269087)),Kreuzung zwischen Mitterweg und Oriongasse,,20065658
STRASSENKNOTENOGD.3427251,3427251,,MULTIPOINT ((16.427380962806733 48.1632246281241)),Kreuzung zwischen Simmeringer Hauptstraße und Unbenannte Verkehrsfläche,,20066110
STRASSENKNOTENOGD.3427252,3427252,,MULTIPOINT ((16.38496543130488 48.17913133756251)),Kreuzung auf Sissy-Löwinger-Weg,,20066273
STRASSENKNOTENOGD.3427235,3427235,,MULTIPOINT ((16.37864432990641 48.20956971962606)),Kreuzung zwischen Postgasse und Schönlaterngasse,,20062253
STRASSENKNOTENOGD.3427236,3427236,,MULTIPOINT ((16.45177754292043 48.20662387953605)),Kreuzung auf Wieselweg,,20062414
STRASSENKNOTENOGD.3426482,3426482,,MULTIPOINT ((16.401564125876675 48.20113181621879)),Kreuzung zwischen Haidingergasse und Louise-Martini-Weg,,18877336
STRASSENKNOTENOGD.3426483,3426483,,MULTIPOINT ((16.312263407754187 48.14193439158513)),Kreuzung zwischen Judith-Holzmeister-Weg und Calvigasse,,18877427
STRASSENKNOTENOGD.3426484,3426484,,MULTIPOINT ((16.306877381064243 48.142400939923164)),Kreuzung zwischen Kugelmannplatz und Judith-Holzmeister-Weg,,18877430
STRASSENKNOTENOGD.3426485,3426485,,MULTIPOINT ((16.373386431447354 48.21780489885693)),Kreuzung auf Herminengasse,,18877847
STRASSENKNOTENOGD.3426486,3426486,,MULTIPOINT ((16.30166786363484 48.143604460746324)),Kreuzung auf Unbenannte Verkehrsfläche,,18877927
STRASSENKNOTENOGD.3426487,3426487,,MULTIPOINT ((16.26207473581255 48.201178084520784)),Kreuzung auf Rettichgasse,,18878294
STRASSENKNOTENOGD.3426488,3426488,,MULTIPOINT ((16.25998376172018 48.20156054700497)),Kreuzung auf Hamiltongasse,,18878299
STRASSENKNOTENOGD.3426489,3426489,,MULTIPOINT ((16.34732544391728 48.1853773586845)),Kreuzung auf Gießaufgasse,,18878408
STRASSENKNOTENOGD.3426490,3426490,,MULTIPOINT ((16.346985005375764 48.18526188374682)),Kreuzung auf Gießaufgasse,,18878411
STRASSENKNOTENOGD.3426491,3426491,,MULTIPOINT ((16.3736315758666 48.22194583692015)),Kreuzung auf Krafftgasse,,18878487
STRASSENKNOTENOGD.3426492,3426492,,MULTIPOINT ((16.356031748109945 48.203293037344295)),Kreuzung auf Kirchberggasse,,18878607
STRASSENKNOTENOGD.3426493,3426493,,MULTIPOINT ((16.355723674141494 48.20324489195254)),Kreuzung auf Gutenberggasse,,18878610
STRASSENKNOTENOGD.3426494,3426494,,MULTIPOINT ((16.355687254116642 48.20338000790884)),Kreuzung auf Gutenberggasse,,18878613
STRASSENKNOTENOGD.3426495,3426495,,MULTIPOINT ((16.355289255548676 48.20316739857288)),Kreuzung auf Spittelberggasse,,18878627
STRASSENKNOTENOGD.3426496,3426496,,MULTIPOINT ((16.35523003181385 48.2033110194819)),Kreuzung auf Spittelberggasse,,18878630
STRASSENKNOTENOGD.3426497,3426497,,MULTIPOINT ((16.355450235642667 48.2033501167207)),Ende Gutenberggasse,,18878667
STRASSENKNOTENOGD.3426498,3426498,,MULTIPOINT ((16.355508410629145 48.20320958774769)),Kreuzung zwischen Gutenberggasse und Spittelberggasse,,18878669
STRASSENKNOTENOGD.3426499,3426499,,MULTIPOINT ((16.390962679569096 48.17673234943884)),Kreuzung auf Südbahnhofbrücke,,18879027
STRASSENKNOTENOGD.3426500,3426500,,MULTIPOINT ((16.392321950882934 48.21474063737008)),Kreuzung auf Helenengasse,,18879330
STRASSENKNOTENOGD.3426501,3426501,,MULTIPOINT ((16.39227312671189 48.21508415956481)),Kreuzung auf Helenengasse,,18879347
STRASSENKNOTENOGD.3426502,3426502,,MULTIPOINT ((16.347227118834148 48.17181875457031)),Kreuzung zwischen Unter-Meidlinger Straße und Karplusgasse,,18880027
STRASSENKNOTENOGD.3426503,3426503,,MULTIPOINT ((16.342931426590095 48.17706582010211)),Kreuzung zwischen Eichenstraße und Hanauskagasse,,18880101
STRASSENKNOTENOGD.3426504,3426504,,MULTIPOINT ((16.33560980855937 48.178036871116156)),Kreuzung auf Pinaglgasse,,18880167
STRASSENKNOTENOGD.3426505,3426505,,MULTIPOINT ((16.334564994083145 48.17722409501687)),Kreuzung auf Dörfelstraße,,18880187
STRASSENKNOTENOGD.3426506,3426506,,MULTIPOINT ((16.331051230004093 48.16200244504956)),Kreuzung zwischen Eibesbrunnergasse und Oehlenschlägergasse,,18881847
STRASSENKNOTENOGD.3426507,3426507,,MULTIPOINT ((16.298548192103993 48.196584090841604)),Kreuzung auf Rottstraße,,18881967
STRASSENKNOTENOGD.3426508,3426508,,MULTIPOINT ((16.295743927407976 48.16885614552758)),Kreuzung zwischen Atzgersdorfer Straße und Defreggerstraße,,18882269
STRASSENKNOTENOGD.3426509,3426509,,MULTIPOINT ((16.36056365627853 48.15859677162225)),Kreuzung zwischen Neilreichgasse und Starkegasse,,18883371
STRASSENKNOTENOGD.3426510,3426510,,MULTIPOINT ((16.36076372293087 48.15907681633072)),Kreuzung zwischen Neilreichgasse und Sanzingasse,,18883389
STRASSENKNOTENOGD.3426511,3426511,,MULTIPOINT ((16.36575043111837 48.15394285327459)),Kreuzung auf Kittelsengasse,,18884010
STRASSENKNOTENOGD.3426512,3426512,,MULTIPOINT ((16.347673374404753 48.18797110547576)),Kreuzung zwischen Bräuhausgasse und Am Hundsturm,,18884247
STRASSENKNOTENOGD.3426513,3426513,,MULTIPOINT ((16.352035153792592 48.189845466185076)),Kreuzung auf Rechte Wienzeile,,18884287
STRASSENKNOTENOGD.3426514,3426514,,MULTIPOINT ((16.35279152422185 48.190292281245696)),Kreuzung auf Rechte Wienzeile,,18884290
STRASSENKNOTENOGD.3426515,3426515,,MULTIPOINT ((16.2200216068196 48.21080006088156)),Kreuzung zwischen Loudonstraße und Bahnstraße,,18884927
STRASSENKNOTENOGD.3426516,3426516,,MULTIPOINT ((16.3906189431591 48.237064949286975)),Kreuzung zwischen Traisengasse und Brigittenauer Steg,,18885087
STRASSENKNOTENOGD.3426517,3426517,,MULTIPOINT ((16.385914027506434 48.232349950043286)),Ende Pöchlarnstraße,,18885111
STRASSENKNOTENOGD.3426518,3426518,,MULTIPOINT ((16.38633982131673 48.23255653793774)),Beginn Pöchlarnstraße,,18885119
STRASSENKNOTENOGD.3426519,3426519,,MULTIPOINT ((16.37867489359424 48.299955823980774)),Kreuzung zwischen Langenzersdorfer Straße und Klausgrabenbrücke,,18885127
STRASSENKNOTENOGD.3426520,3426520,,MULTIPOINT ((16.406818731182074 48.309820222717605)),Kreuzung zwischen Neusatzgasse und Brücke über den Stammersdorfer Ortsgrab.,,18885147
STRASSENKNOTENOGD.3426521,3426521,,MULTIPOINT ((16.402537275814534 48.240186200616215)),Kreuzung auf Steg Donaupark,,18885175
STRASSENKNOTENOGD.3426522,3426522,,MULTIPOINT ((16.38261413529065 48.235825579260954)),Kreuzung auf Donaueschingenstraße,,18885188
STRASSENKNOTENOGD.3426523,3426523,,MULTIPOINT ((16.38352630513106 48.23484017335024)),Beginn Fußweg Traisengasse,,18885207
STRASSENKNOTENOGD.3426524,3426524,,MULTIPOINT ((16.379844814063205 48.30196091097928)),Kreuzung zwischen Fillenbaumbrücke und Fillenbaumgasse,,18885227
STRASSENKNOTENOGD.3426525,3426525,,MULTIPOINT ((16.24089382580032 48.200840559433935)),Kreuzung zwischen Grünauerbachbrücke und Wientalstraße,,18885267
STRASSENKNOTENOGD.3426526,3426526,,MULTIPOINT ((16.24052754006303 48.20090749422437)),Kreuzung zwischen Wientalstraße und Grünauerbachbrücke,,18885270
STRASSENKNOTENOGD.3426527,3426527,,MULTIPOINT ((16.236643862851796 48.2016110805732)),Kreuzung zwischen Wientalstraße und Retentionsbrücke,,18885273
STRASSENKNOTENOGD.3426528,3426528,,MULTIPOINT ((16.236506237439762 48.20163681693628)),Kreuzung zwischen Retentionsbrücke und Wientalstraße,,18885276
STRASSENKNOTENOGD.3426529,3426529,,MULTIPOINT ((16.25813905614376 48.17905784900054)),Ende Ghelengasse,,18885287
STRASSENKNOTENOGD.3426530,3426530,,MULTIPOINT ((16.258329302076266 48.17906198262123)),Ende Lackenbachbrücke,,18885307
STRASSENKNOTENOGD.3426531,3426531,,MULTIPOINT ((16.356210167861068 48.27359200334922)),Kreuzung zwischen Wigandgasse und Brücke im Zuge der Wigandgasse,,18885327
