FID,OBJECTID,SE_ANNO_CAD_DATA,SHAPE,FEATURENAME,NEIGHBORNODE_OBJECTID,GIP_OBJECTID
STRASSENKNOTENOGD.3412841,3412841,,MULTIPOINT ((16.384513981067897 48.23400016418777)),Kreuzung auf Traisengasse,,10345159
STRASSENKNOTENOGD.3412842,3412842,,MULTIPOINT ((16.39932607234328 48.227798429332914)),Kreuzung zwischen Engerthstraße und Haussteinstraße,,10345160
STRASSENKNOTENOGD.3412843,3412843,,MULTIPOINT ((16.388095839127015 48.229348633446904)),Kreuzung zwischen Dresdner Straße und Nordbahnstraße,,10345161
STRASSENKNOTENOGD.3412844,3412844,,MULTIPOINT ((16.382699976621186 48.22600063078329)),Kreuzung auf Nordwestbahnstraße,,10345162
STRASSENKNOTENOGD.3412845,3412845,,MULTIPOINT ((16.388234518644218 48.22870555778022)),Kreuzung auf Nordbahnstraße,,10345164
STRASSENKNOTENOGD.3412846,3412846,,MULTIPOINT ((16.39338368632027 48.23120623561763)),Kreuzung zwischen Vorgartenstraße und Holubstraße,,10345165
STRASSENKNOTENOGD.3412847,3412847,,MULTIPOINT ((16.392319710130494 48.23209968558246)),Beginn Vorgartenstraße,,10345166
STRASSENKNOTENOGD.3412848,3412848,,MULTIPOINT ((16.396759837526904 48.22835176815839)),Kreuzung zwischen Vorgartenstraße und Schweidlgasse,,10345168
STRASSENKNOTENOGD.3412849,3412849,,MULTIPOINT ((16.39815632861663 48.227170807448815)),Kreuzung zwischen Vorgartenstraße und Haussteinstraße,,10345169
STRASSENKNOTENOGD.3412850,3412850,,MULTIPOINT ((16.416005192120707 48.231702336767476)),Kreuzung zwischen Wagramer Straße und Schüttaustraße und Platz-der-Vereinten-Nationen,,10345171
STRASSENKNOTENOGD.3412851,3412851,,MULTIPOINT ((16.403323124361137 48.22698045271453)),Kreuzung zwischen Mexikoplatz und Handelskai,,10345172
STRASSENKNOTENOGD.3412852,3412852,,MULTIPOINT ((16.40103685718847 48.228754758990675)),Kreuzung zwischen Handelskai und Haussteinstraße,,10345173
STRASSENKNOTENOGD.3412853,3412853,,MULTIPOINT ((16.415156768772988 48.23123422345012)),Kreuzung zwischen Wagramer Straße und Unbenannte Verkehrsfläche und A22,,10345175
STRASSENKNOTENOGD.3412854,3412854,,MULTIPOINT ((16.400215978432502 48.228301555364204)),Kreuzung zwischen Wehlistraße und Haussteinstraße,,10345176
STRASSENKNOTENOGD.3412855,3412855,,MULTIPOINT ((16.39939208751006 48.2261602266562)),Kreuzung zwischen Vorgartenstraße und Jakov-Lind-Straße,,10345177
STRASSENKNOTENOGD.3412856,3412856,,MULTIPOINT ((16.40147409562239 48.22594976010471)),Kreuzung zwischen Mexikoplatz und Engerthstraße und Walcherstraße,,10345178
STRASSENKNOTENOGD.3412857,3412857,,MULTIPOINT ((16.402413770403797 48.22648684694761)),Kreuzung zwischen Mexikoplatz und Wehlistraße,,10345179
STRASSENKNOTENOGD.3412858,3412858,,MULTIPOINT ((16.401449018537615 48.22904989604746)),Ende Haussteinstraße,,10345180
STRASSENKNOTENOGD.3412859,3412859,,MULTIPOINT ((16.401367355176976 48.22900055002539)),Kreuzung auf Haussteinstraße,,10345183
STRASSENKNOTENOGD.3412860,3412860,,MULTIPOINT ((16.4087639593982 48.22779383847984)),Kreuzung auf Reichsbrücke,,10345184
STRASSENKNOTENOGD.3412861,3412861,,MULTIPOINT ((16.40480703584663 48.225656382427)),Kreuzung auf Reichsbrücke,,10345185
STRASSENKNOTENOGD.3412862,3412862,,MULTIPOINT ((16.4140801155638 48.23066361057305)),Kreuzung zwischen Wagramer Straße und Reichsbrücke,,10345186
STRASSENKNOTENOGD.3412863,3412863,,MULTIPOINT ((16.413839695551857 48.23036770055719)),Kreuzung auf Reichsbrücke,,10345187
STRASSENKNOTENOGD.3412864,3412864,,MULTIPOINT ((16.41360731397108 48.230518493238755)),Kreuzung auf Reichsbrücke,,10345189
STRASSENKNOTENOGD.3412865,3412865,,MULTIPOINT ((16.408657130149084 48.22787245513256)),Kreuzung auf Reichsbrücke,,10345191
STRASSENKNOTENOGD.3412866,3412866,,MULTIPOINT ((16.408871416285734 48.22771290198602)),Kreuzung auf Reichsbrücke,,10345192
STRASSENKNOTENOGD.3412867,3412867,,MULTIPOINT ((16.40471407181089 48.22572592382284)),Kreuzung auf Reichsbrücke,,10345193
STRASSENKNOTENOGD.3412868,3412868,,MULTIPOINT ((16.40489830979321 48.22558227432314)),Kreuzung auf Reichsbrücke,,10345194
STRASSENKNOTENOGD.3412869,3412869,,MULTIPOINT ((16.404324900661667 48.22626848707865)),Kreuzung zwischen Mexikoplatz und Reichsbrücke,,10345196
STRASSENKNOTENOGD.3412870,3412870,,MULTIPOINT ((16.403123759796397 48.22561149586119)),Kreuzung auf Reichsbrücke,,10345197
STRASSENKNOTENOGD.3412871,3412871,,MULTIPOINT ((16.41484306458341 48.23239203042887)),Kreuzung zwischen Platz-der-Vereinten-Nationen und A22,,10345198
STRASSENKNOTENOGD.3412872,3412872,,MULTIPOINT ((16.41619834577475 48.230539763158774)),Kreuzung zwischen Unbenannte Verkehrsfläche und Unbenannte Verkehrsfläche,,10345207
STRASSENKNOTENOGD.3412873,3412873,,MULTIPOINT ((16.410415185497186 48.228818217501704)),Kreuzung auf Reichsbrücke,,10345210
STRASSENKNOTENOGD.3412874,3412874,,MULTIPOINT ((16.412112494833607 48.22974340669579)),Kreuzung auf Reichsbrücke,,10345211
STRASSENKNOTENOGD.3412875,3412875,,MULTIPOINT ((16.410518332884777 48.22873875804951)),Kreuzung auf Reichsbrücke,,10345212
STRASSENKNOTENOGD.3412876,3412876,,MULTIPOINT ((16.412193161957955 48.22968040105226)),Kreuzung auf Reichsbrücke,,10345213
STRASSENKNOTENOGD.3412877,3412877,,MULTIPOINT ((16.410614208896835 48.22864904468421)),Kreuzung auf Reichsbrücke,,10345214
STRASSENKNOTENOGD.3412878,3412878,,MULTIPOINT ((16.412317921046938 48.229567341540985)),Kreuzung auf Reichsbrücke,,10345215
STRASSENKNOTENOGD.3412879,3412879,,MULTIPOINT ((16.415867680950885 48.232878642500275)),Kreuzung zwischen Isidro-Fabela-Promenade und Platz-der-Vereinten-Nationen,,10345217
STRASSENKNOTENOGD.3412880,3412880,,MULTIPOINT ((16.413833629854718 48.22955649136068)),Kreuzung zwischen Rudolf-Nurejew-Promenade und Unbenannte Verkehrsfläche,,10345219
STRASSENKNOTENOGD.3412881,3412881,,MULTIPOINT ((16.42031925095763 48.23403671373069)),Kreuzung zwischen Wagramer Straße und Julius-Payer-Gasse,,10345221
STRASSENKNOTENOGD.3412882,3412882,,MULTIPOINT ((16.41824014064663 48.22740756958632)),Kreuzung zwischen Am Kaisermühlendamm und Rudolf-Nurejew-Promenade und Jungmaisstraße,,10345222
STRASSENKNOTENOGD.3412883,3412883,,MULTIPOINT ((16.422671417011916 48.233118857253324)),Kreuzung zwischen Julius-Payer-Gasse und Gewidmete Verkehrsfläche und Gotenweg,,10345223
STRASSENKNOTENOGD.3412884,3412884,,MULTIPOINT ((16.424216202672405 48.23289432951357)),Kreuzung auf Julius-Payer-Gasse,,10345224
STRASSENKNOTENOGD.3412885,3412885,,MULTIPOINT ((16.42542882533522 48.23415419585746)),Kreuzung zwischen Eiswerkstraße und Gotenweg,,10345225
STRASSENKNOTENOGD.3412886,3412886,,MULTIPOINT ((16.426400764400967 48.23433091191611)),Kreuzung auf Fischerstrand,,10345226
STRASSENKNOTENOGD.3412887,3412887,,MULTIPOINT ((16.42650181579013 48.23300932687232)),Kreuzung zwischen Fischerstrand und Gewidmete Verkehrsfläche,,10345227
STRASSENKNOTENOGD.3412888,3412888,,MULTIPOINT ((16.41873398952836 48.227702445202695)),Kreuzung zwischen Schödlbergergasse und Jungmaisstraße,,10345228
STRASSENKNOTENOGD.3412889,3412889,,MULTIPOINT ((16.41928594990133 48.22803591950667)),Kreuzung zwischen Schiffmühlenstraße und Jungmaisstraße,,10345229
STRASSENKNOTENOGD.3412890,3412890,,MULTIPOINT ((16.420224323229288 48.228603564306034)),Kreuzung zwischen Schüttaustraße und Jungmaisstraße,,10345230
STRASSENKNOTENOGD.3412891,3412891,,MULTIPOINT ((16.420705983563277 48.22825268798569)),Kreuzung zwischen Schüttaustraße und Schödlbergergasse,,10345231
STRASSENKNOTENOGD.3412892,3412892,,MULTIPOINT ((16.421742157477627 48.228875542116384)),Kreuzung zwischen Schödlbergergasse und Sinagasse,,10345232
STRASSENKNOTENOGD.3412893,3412893,,MULTIPOINT ((16.4224010936104 48.229271663572774)),Kreuzung zwischen Schödlbergergasse und Weissauweg,,10345233
STRASSENKNOTENOGD.3412894,3412894,,MULTIPOINT ((16.419981725087098 48.22750502642719)),Kreuzung zwischen Schiffmühlenstraße und Schödlbergergasse,,10345234
STRASSENKNOTENOGD.3412895,3412895,,MULTIPOINT ((16.42088577701382 48.228049857197014)),Kreuzung zwischen Schüttaustraße und Schödlbergergasse,,10345235
STRASSENKNOTENOGD.3412896,3412896,,MULTIPOINT ((16.419943453791465 48.22615523294622)),Kreuzung zwischen Am Kaisermühlendamm und Bellegardegasse,,10345236
STRASSENKNOTENOGD.3412897,3412897,,MULTIPOINT ((16.420940204055363 48.22675149531575)),Kreuzung zwischen Schiffmühlenstraße und Bellegardegasse,,10345237
STRASSENKNOTENOGD.3412898,3412898,,MULTIPOINT ((16.42187636663577 48.22732102595277)),Kreuzung zwischen Schüttaustraße und Bellegardegasse,,10345238
STRASSENKNOTENOGD.3412899,3412899,,MULTIPOINT ((16.42295011833313 48.22796962654182)),Kreuzung zwischen Bellegardegasse und Sinagasse,,10345239
STRASSENKNOTENOGD.3412900,3412900,,MULTIPOINT ((16.424294207732903 48.22877749886515)),Kreuzung zwischen Ernst-Sadil-Platz und Bellegardegasse und Laberlweg,,10345240
STRASSENKNOTENOGD.3412901,3412901,,MULTIPOINT ((16.42223983009692 48.22578881982746)),Kreuzung zwischen Schiffmühlenstraße und Moissigasse,,10345241
STRASSENKNOTENOGD.3412902,3412902,,MULTIPOINT ((16.423185233282005 48.22635278238365)),Kreuzung zwischen Schüttauplatz und Schüttaustraße und Moissigasse,,10345242
STRASSENKNOTENOGD.3412903,3412903,,MULTIPOINT ((16.424257081125692 48.2269968757222)),Kreuzung zwischen Schüttauplatz und Moissigasse und Sinagasse,,10345243
STRASSENKNOTENOGD.3412904,3412904,,MULTIPOINT ((16.425323683190566 48.22757168762443)),Kreuzung zwischen Ernst-Sadil-Platz und Schnitterweg und Moissigasse und Gänsehäufelbrücke,,10345244
STRASSENKNOTENOGD.3412905,3412905,,MULTIPOINT ((16.424483329254514 48.22538692061403)),Kreuzung zwischen Schüttauplatz und Schüttaustraße und Mendelssohngasse,,10345245
STRASSENKNOTENOGD.3412906,3412906,,MULTIPOINT ((16.425559475930484 48.226026291578776)),Kreuzung auf Schüttauplatz,,10345246
STRASSENKNOTENOGD.3412907,3412907,,MULTIPOINT ((16.416913963281452 48.23101597156223)),Kreuzung zwischen Schüttaustraße und Unbenannte Verkehrsfläche und Felix-Bischof-Weg,,10345247
