,coefs
0001,0.1208562381276703
0002,0.16648375089558384
0003,0.032317709087763054
0004,0.15602279066435673
0005,0.15121202902306968
0006,0.19597429169846062
0007,0.09586826574392993
0008,0.1168966705926404
0009,0.07336465897392495
0010,0.04387975178214791
0011,0.19271150293361486
0012,0.178625564754689
0013,0.05910163923331362
0014,0.2544297950516085
0015,0.1100681417480293
0016,0.19347560417637386
0017,0.11217296212618816
0018,0.13439978160615135
0019,0.21952601095793617
0020,0.15375808788727885
0021,0.1265334663140414
0022,0.15997231562518
0023,0.1953670356102698
0024,0.15617662654685355
0025,0.14106384404029568
0026,0.14634001536917382
0027,0.11862288068713527
0028,0.1520917715794269
0029,0.17087088640218792
0030,0.07934114681913326
0031,0.03
0032,0.08649705037172152
0033,0.1584120956380856
0034,0.19956991316207606
0035,0.07568159409500941
0036,0.12325439837060448
0037,0.09817306183182695
0038,0.102499281616369
0039,0.1200762108261383
0040,0.20635050650769432
0041,0.10938004273790927
0042,0.15720998390274957
0043,0.1351251910922212
0044,0.10436873460579352
0045,0.12021083498779596
0046,0.07481467442945276
0047,0.1842375948981817
0048,0.14011160268177653
0049,0.2346185200517161
0050,0.1376771891380961
0051,0.09739890642389282
0052,0.17974652559972065
0053,0.3297770614831979
0054,0.2755656081397455
0055,0.09928900327696567
0056,0.03
0057,0.15503582366778856
0058,0.18548607271788714
0059,0.20011248953073185
0060,0.22293864216283432
0061,0.12037323484730027
0062,0.06880191881269487
0063,0.19467360410644483
0064,0.04609513534758983
0065,0.16768605746726456
0066,0.2508565510391317
0067,0.15735582455507027
0068,0.13781705046631867
0069,0.08910906234092593
0070,0.07941722736031506
0071,0.23710337775052964
0072,0.10136730471549296
0073,0.20054648102469194
0074,0.05868528897695937
0075,0.13397371129488406
0076,0.31838208111244964
0077,0.15761262879812363
0078,0.03
0079,0.11436771748048319
0080,0.10341927739522681
0081,0.19257538804014
0082,0.13102956967714574
0083,0.1552149523047996
0084,0.1314468810212924
0085,0.2248003658171827
0086,0.16059977713745535
0087,0.1787632428038429
0088,0.0843764552537614
0089,0.07620731694486763
0090,0.1465409028013538
0091,0.1791311040566982
0092,0.11734231411603965
0093,0.0934079969624466
0094,0.17166017718461052
0095,0.20675568323684634
0096,0.29360325293350076
0097,0.20327664797676762
0098,0.1941467456619361
0099,0.1565430931819127
0100,0.202255261394182
0101,0.10861863912332473
0102,0.14150898195849915
0103,0.15623313070369613
0104,0.19205801307321316
0105,0.15769156972258272
0106,0.12210040106425617
0107,0.185301986637896
0108,0.12797983017324832
0109,0.1216807351790564
0110,0.10662491425244813
0111,0.16148326521860212
0112,0.14433999207313059
0113,0.1927608687234727
0114,0.19050522556698252
0115,0.15897767926510042
0116,0.1948694711901675
0117,0.16825874982878813
0118,0.19790119646304996
0119,0.1801087999304389
0120,0.08317764133349084
0121,0.22201333621294894
0122,0.12996703950906804
0123,0.11040705149965122
0124,0.2333653079224112
0125,0.13273303196567451
0126,0.21631369269764775
0127,0.1363083670503388
0128,0.08935559675175751
0129,0.18220647353704775
0130,0.15181081744142313
0131,0.12407795838655702
