,coefs
0001,0.18768769072351443
0002,0.22344497034696265
0003,0.04392688913942889
0004,0.19882728690495072
0005,0.17898127828051127
0006,0.20917020704616082
0007,0.09650245055906642
0008,0.09921311656386006
0009,0.07101659536204022
0010,0.05640884653834033
0011,0.220581698425083
0012,0.2440990388475023
0013,0.1350637931305833
0014,0.2223173945698459
0015,0.21032651019576687
0016,0.2104193292015283
0017,0.15246115038608168
0018,0.09710408832381484
0019,0.21062743109941195
0020,0.2944846949700368
0021,0.14463036359016562
0022,0.18507424516059837
0023,0.2683607204820202
0024,0.11728256526590566
0025,0.23427008768804725
0026,0.2742445773145631
0027,0.25875587632864094
0028,0.2388510430450799
0029,0.17492344340234267
0030,0.1184229284086204
0031,0.03
0032,0.1527042966978272
0033,0.23364037078835231
0034,0.2102358671436073
0035,0.11414772301547554
0036,0.19216409463170697
0037,0.1341068968305652
0038,0.08533168483720856
0039,0.11716790845997059
0040,0.30861845906008434
0041,0.08866535734251264
0042,0.16762832633693386
0043,0.1387371160003928
0044,0.1304551984799298
0045,0.22006893799032984
0046,0.09562560408368413
0047,0.14111423884860222
0048,0.1218428851046663
0049,0.16643029574031482
0050,0.16220712068321805
0051,0.14889463938383357
0052,0.2222537188765179
0053,0.22624583051727049
0054,0.1542020197045135
0055,0.12109089069238914
0056,0.03
0057,0.14018628565012006
0058,0.15709979271645752
0059,0.1922934019887722
0060,0.14390912196514868
0061,0.13893962055155817
0062,0.08349767275573836
0063,0.19991645737634595
0064,0.06738451690856581
0065,0.22884435912801204
0066,0.24632319279481862
0067,0.19191627525261304
0068,0.09214240439065995
0069,0.08209259091164839
0070,0.06866996989147221
0071,0.14329090644086115
0072,0.11026529234180668
0073,0.2019990995083002
0074,0.04983931333988262
0075,0.1733895688472119
0076,0.1755424637062365
0077,0.17243350179250452
0078,0.09385273756877427
0079,0.07991190425046099
0080,0.0809936271011916
0081,0.18174365395365494
0082,0.12770351193007087
0083,0.14715116703100328
0084,0.10729164840087753
0085,0.17912289697758926
0086,0.2079837058358928
0087,0.14339420999925273
0088,0.18026241461485482
0089,0.14331454737698957
0090,0.27016913738186715
0091,0.21240484323611036
0092,0.18606062194133696
0093,0.16371957019314579
0094,0.25121546274558615
0095,0.2516198386138389
0096,0.3507717870526687
0097,0.19219769116427646
0098,0.21155202572622075
0099,0.10717912412990575
0100,0.2847844389768542
0101,0.19667871117359922
0102,0.14401916242714297
0103,0.2248865591344674
0104,0.1990491351524952
0105,0.15543359508990737
0106,0.14482492910928968
0107,0.25564524697534063
0108,0.083703358644226
0109,0.16375759644216037
0110,0.19202281905575877
0111,0.1963511242587086
0112,0.18206960302338607
0113,0.22763371783309105
0114,0.25797284580365915
0115,0.24951912789410585
0116,0.24651042791787653
0117,0.18087061531141405
0118,0.14124314797768037
0119,0.28592686079953855
0120,0.1272836120192051
0121,0.314220177455334
0122,0.20018148855879786
0123,0.15272885663860333
0124,0.21758136184910015
0125,0.15595904430693458
0126,0.15353307935230404
0127,0.11816919080168034
